x,y,z,lp_x,lp_y,lp_z,hp_x,hp_y,hp_z,
0.235458,-0.597702,-0.724487,0.232433,-0.593757,-0.717156,0.003025,-0.003945,-0.007332,
0.235458,-0.597702,-0.724487,0.232735,-0.594152,-0.717889,0.002723,-0.003550,-0.006598,
0.217346,-0.597702,-0.724487,0.231197,-0.594507,-0.718549,-0.013850,-0.003195,-0.005939,
0.217346,-0.579590,-0.724487,0.229812,-0.593015,-0.719143,-0.012465,0.013425,-0.005345,
0.199234,-0.579590,-0.724487,0.226754,-0.591673,-0.719677,-0.027520,0.012083,-0.004810,
0.199234,-0.597702,-0.760712,0.224002,-0.592276,-0.723781,-0.024768,-0.005426,-0.036931,
0.163010,-0.579590,-0.706375,0.217903,-0.591007,-0.722040,-0.054893,0.011417,0.015665,
0.108673,-0.597702,-0.724487,0.206980,-0.591676,-0.722285,-0.098307,-0.006026,-0.002203,
0.090561,-0.615814,-0.724487,0.195338,-0.594090,-0.722505,-0.104777,-0.021724,-0.001982,
0.126785,-0.615814,-0.742599,0.188483,-0.596263,-0.724514,-0.061697,-0.019552,-0.018085,
0.108673,-0.597702,-0.706375,0.180502,-0.596407,-0.722701,-0.071828,-0.001295,0.016325,
0.108673,-0.615814,-0.742599,0.173319,-0.598347,-0.724690,-0.064646,-0.017467,-0.017909,
0.144897,-0.597702,-0.724487,0.170477,-0.598283,-0.724670,-0.025579,0.000581,0.000183,
0.126785,-0.597702,-0.760712,0.166107,-0.598225,-0.728274,-0.039322,0.000523,-0.032437,
0.108673,-0.633926,-0.778824,0.160364,-0.601795,-0.733329,-0.051691,-0.032131,-0.045495,
-0.054337,-0.597702,-0.742599,0.138894,-0.601386,-0.734256,-0.193231,0.003684,-0.008343,
-0.054337,-0.615814,-0.742599,0.119571,-0.602828,-0.735091,-0.173907,-0.012986,-0.007509,
-0.144897,-0.633926,-0.760712,0.093124,-0.605938,-0.737653,-0.238022,-0.027988,-0.023059,
-0.217346,-0.543365,-0.815048,0.062077,-0.599681,-0.745392,-0.279423,0.056316,-0.069656,
-0.398468,-0.615814,-0.760712,0.016023,-0.601294,-0.746924,-0.414491,-0.014520,-0.013787,
-0.760712,-0.815048,-0.670151,-0.061651,-0.622670,-0.739247,-0.699061,-0.192379,0.069096,
-0.724487,-0.597702,-0.959946,-0.127935,-0.620173,-0.761317,-0.596553,0.022471,-0.198629,
-0.344131,-0.452805,-0.996170,-0.149554,-0.603436,-0.784802,-0.194577,0.150632,-0.211368,
0.199234,0.036224,-1.430862,-0.114675,-0.539470,-0.849408,0.313909,0.575694,-0.581454,
0.434692,0.380356,-1.521423,-0.059739,-0.447487,-0.916610,0.494431,0.827843,-0.604814,
0.362244,0.326019,-0.815048,-0.017540,-0.370137,-0.906453,0.379784,0.696156,0.091405,
-0.072449,0.181122,-0.235458,-0.023031,-0.315011,-0.839354,-0.049418,0.496133,0.603896,
-1.032394,-0.633926,0.199234,-0.123968,-0.346902,-0.735495,-0.908427,-0.287024,0.934729,
-1.376526,-1.285965,0.054337,-0.249223,-0.440809,-0.656512,-1.127303,-0.845156,0.710849,
-1.159180,-1.503311,-0.579590,-0.340219,-0.547059,-0.648820,-0.818961,-0.956252,0.069230,
-0.434692,-0.941833,-1.249741,-0.349666,-0.586536,-0.708912,-0.085026,-0.355297,-0.540829,
0.018112,0.126785,-1.974228,-0.312888,-0.515204,-0.835443,0.331001,0.641990,-1.138784,
0.416580,0.543365,-1.720657,-0.239942,-0.409347,-0.923965,0.656522,0.952713,-0.796692,
0.416580,0.452805,-0.742599,-0.174289,-0.323132,-0.905828,0.590870,0.775937,0.163229,
0.144897,0.199234,0.090561,-0.142371,-0.270895,-0.806189,0.287268,0.470129,0.896750,
-0.579590,-0.235458,0.452805,-0.186093,-0.267352,-0.680290,-0.393497,0.031893,1.133095,
-1.086731,-0.778824,0.688263,-0.276156,-0.318499,-0.543435,-0.810574,-0.460325,1.231698,
-1.611984,-1.249741,0.489029,-0.409739,-0.411623,-0.440188,-1.202245,-0.838117,0.929217,
-1.485199,-1.177292,-1.014282,-0.517285,-0.488190,-0.497598,-0.967914,-0.689102,-0.516684,
